StartDate,EndDate,Duration,Latitude,Longitude,Age,Sex,Race,ruralurban,Religion,Socioeconomic,workhours,Remote,Relationship_status,Relationship_qual,FOMO_1,FOMO_2,FOMO_3,FOMO_4,FOMO_5,FOMO_6,FOMO_7,FOMO_8,FOMO_9,FOMO_10,FOMO_11,socialhours,posting,social_likes,socialeffort,irl,socialengage,socialinfo,familyclose,friendclose,community,Anxiety,valued_1,valued_2,valued_3,valued_4,FOMO
2024-03-28T17:42:46Z,2024-03-28T17:49:06Z,380,47.2109,-122.4147,28,Female,White,Suburb,50,90,40,In person,Partnered,5,2,2,1,1,1,1,1,3,2,1,2,2,1,15,45,30,2,Hobbies,6,NA,30,15,70,NA,60,NA,1.5
2024-03-28T17:37:53Z,2024-03-28T17:50:08Z,734,46.9763,-123.7965,27,Female,White,Urban,50,60,32,In person,Partnered,2,2,4,3,1,4,3,2,3,3,1,4,5,1,8,5,65,8,Hobbies,5,2,0,72,20,90,10,2,2.6
2024-03-28T17:46:30Z,2024-03-28T17:53:16Z,406,47.4902,-122.3004,26,Female,Multiracial,Rural,40,80,35,In person,Dating,5,4,3,4,2,2,5,3,4,4,3,5,5,5,7,90,15,6,Hobbies,1,1,0,70,10,50,85,70,3.4
2024-03-28T17:53:03Z,2024-03-28T17:58:12Z,309,45.5153,-122.5523,25,Female,White,Urban,30,34,40,In person,Dating,5,3,4,4,4,3,2,4,1,4,2,3,2,2,29,19,60,3,Friends,2,3,0,50,67,75,88,22,3.1
2024-03-28T17:49:03Z,2024-03-28T17:59:10Z,606,47.223,-122.5361,34,Female,White,Suburb,4,75,1,Do not work,Partnered,5,3,2,2,1,3,3,3,3,3,1,3,3,7,8,36,53,3,Family,6,6,3,4,89,80,3,43,2.4
2024-03-28T17:57:59Z,2024-03-28T18:02:08Z,249,38.2478,-122.6192,38,Female,White,Suburb,0,103,50,In person,Partnered,4,2,2,2,2,1,1,3,3,3,3,3,3,5,30,51,70,2,Friends,3,6,58,48,10,60,30,30,2.2
2024-03-28T18:07:24Z,2024-03-28T18:10:20Z,176,47.203,-122.4882,24,Female,White,Urban,NA,16,40,In person,Dating,5,3,2,2,1,1,1,2,2,4,2,2,2,2,5,5,30,3,Friends,1,5,0,5,6,52,41,23,2
2024-03-28T18:08:53Z,2024-03-28T18:14:44Z,351,-27.5126,153.029,28,Female,White,Suburb,17,171,36,In person,Single,NA,4,4,5,5,4,4,4,4,4,4,5,5,1,99,96,65,10,Friends,0,12,4,61,13,35,20,23,4.2
2024-03-28T18:16:03Z,2024-03-28T18:19:56Z,233,45.461,-122.7052,26,Female,White,Suburb,NA,25,45,In person,Dating,5,4,4,5,3,2,5,4,5,3,2,5,5,6,10,74,58,6,Hobbies,3,6,65,90,30,60,80,20,3.7
2024-03-28T18:16:31Z,2024-03-28T18:21:38Z,307,45.6435,-122.6247,27,Not stated,White,Urban,0,70,35,In person,Partnered,5,2,1,1,1,1,1,1,2,1,2,1,2,2,4,1,75,4,Hobbies,1,2,30,40,15,92,72,46,1.3
2024-03-28T18:20:47Z,2024-03-28T18:25:19Z,272,47.6034,-122.3414,26,Non binary,White,Urban,20,20,30,In person,Single,NA,3,4,5,3,5,1,5,1,5,3,4,5,1,3,15,40,5,Hobbies,2,3,3,35,69,85,50,50,3.5
2024-03-28T18:23:57Z,2024-03-28T18:29:05Z,307,45.5496,-122.5044,21,Non binary,White,Urban,60,18,42,In person,Single,NA,3,3,1,1,3,1,2,1,4,NA,3,1,0,77,24,18,1,Hobbies,2,5,6,37,30,55,50,10,NA
2024-03-28T18:27:45Z,2024-03-28T18:32:01Z,255,47.2013,-122.5711,28,Female,White,Urban,59,79,0,Do not work,Partnered,4,3,3,2,1,2,4,2,2,3,1,3,2,4,5,2,70,2,Nothing,3,4,0,77,79,100,NA,11,2.3
2024-03-28T18:34:39Z,2024-03-28T18:37:12Z,152,45.461,-122.7052,25,Female,White,Urban,10,27,41,In person,Dating,4,5,4,3,2,4,5,5,5,3,2,5,5,5,NA,41,49,6,Hobbies,6,4,0,70,100,47,55,11,3.8
2024-03-28T18:45:01Z,2024-03-28T18:48:14Z,192,38.928,-104.6621,28,Female,White,Suburb,NA,100,40,Remote,Partnered,5,4,4,1,1,2,1,5,1,5,1,3,2,5,9,NA,75,1,Friends,15,8,NA,49,70,100,100,50,2.5
2024-03-28T18:46:23Z,2024-03-28T18:51:46Z,322,47.4902,-122.3004,47,Female,White,Suburb,24,145,35,In person,Partnered,4,4,3,2,1,4,3,4,4,4,3,3,2,4,40,20,70,2,Friends,5,4,60,70,60,60,59,30,3.2
2024-03-28T19:04:25Z,2024-03-28T19:09:33Z,308,-35.2896,149.1553,26,Female,White,Suburb,0,57,38,In person,Single,NA,2,1,2,1,1,3,1,1,3,1,4,4,3,16,10,40,2,Sports,5,12,90,10,100,100,100,40,1.6
2024-03-28T19:02:46Z,2024-03-28T19:14:39Z,712,47.4902,-122.3004,61,Female,White,Urban,8,0,40,In person,Partnered,4,2,1,3,1,1,2,1,3,1,2,1,3,7,23,31,45,0,National news,6,3,0,24,100,90,50,1,1.7
